Speaker	Statement	Rating
Dick Cheney	At the mere request from Putin, President Obama withdrew the plans for a missile defense program based in Poland and the Czech Republic.	3
Dick Cheney	You've heard endlessly about waterboarding. It happened to three terrorists.	0
Dick Cheney	President Obama's own director of national intelligence, Admiral Blair, put it this way: 'High-value information came from interrogations in which those methods were used and provided a deeper understanding of the al-Qaida organization that was attacking this country.'	1
Dick Cheney	Obama keeps talking about getting rid of all nuclear weapons. Hes already significantly reduced our capabilities there.	3
Dick Cheney	We have four combat-ready brigades out of 40 in the U.S. Army.	3
Joe  Sestak	Pat Toomey thinks corporations shouldn't pay any taxes.	1
Kevin Levitas	Georgia has a well-deserved reputation for setting the gold standard for food safety.	4
Harry Reid	Hispanic unemployment has been ticking down from an all-time high of 13.9 percent because of the policies weve implemented.	3
Harry Reid	President Obama has declared disasters in 48 of 50 states this year.	1
Harry Reid	We have solved the problem. ... Scientists are now saying leave the nuclear waste where it is.	4
Harry Reid	Sharron Angle voted to protect sex offenders.	1
Harry Reid	In the last two years, we have reduced the deficit by $2.5 trillion.	4
Harry Reid	Since 1981, reconciliation has been used 21 times. Most of it's been used by Republicans.	0
Harry Reid	Sharron Angle wants to wipe out Social Security.	2
Harry Reid	The senior senator from Arizona (John McCain) said he couldn't support repealing 'don't ask, don't tell' because of the economy.	2
Harry Reid	In the history of the United States, 168 presidential nominees have been filibustered, 82 blocked under President Obama, 86 blocked under all the other presidents.	1
Eddie Rodriguez	Were losing almost 6,000 state jobs.	0
Ovide Lamontagne	There are 60,000 fewer jobs today in this state than we had in 2008.	2
Delia Garza	Families in Del Valle, who are City of Austin residents, have to drive to Bastrop to go to the closest grocery store.	4
Don McIntire	Were spending $12,000 bucks a kid a year in the school system.	0
Georgia Department of Public Health	Georgia has the nation's fifth largest Women, Infants and Children (WIC) Supplemental Nutrition program, serving more than 270,000 mothers, babies and children every day.	1
Angel Taveras	If you look at what weve done over the last several years, the crime rate has actually gone down in [Providence] and . . . the number of shootings has been going down.	2
Angel Taveras	Providence graduation rates are up.	1
Angel Taveras	In Connecticut and New York, students at Achievement First schools consistently outperform city and statewide averages.	2
Amy Kremer	We bring in enough tax revenue to service our debt, pay for Medicare and Medicaid and Social Security, and then still have about $300 (billion) or $400 billion left over.	2
Ron Amstutz	Most of the state budget isn't for state government doing things. ... 85 percent of the state budget is transferred to local communities for delivery of service.	1
Tom Ganley	An organized crime syndicate was extorting money from his (Tom Ganleys) business, threatening his family, but he fought back and won the FBI's highest civilian award	0
Tom Ganley	The Arizona law basically parrots the federal immigration law.	1
John Boccieri	Mr. Renacci was registered as a foreign trade lobbyist in the United States government.	2
John Boccieri	I dont understand what Republicans are doing against this. It was their idea. John McCain introduced cap and trade legislation three times.	0
Marisha Agana	The American Conservative Union gives [Rep. Tim] Ryan a dismal 0.0 percent rating for the billions he has contributed to our national debt.	3
Edward Lindsey	As governor, [Mitt Romney] balanced the budget without raising taxes and created jobs.	1
Colleen Conley	We are the most generous in New England and New England is known for its generosity toward its welfare recipients.	2
Laura Tyson	Unemployment for those with college educations is now 4.5 percent. Unemployment for those with more than a college education, below 4 percent.	1
Jim Sullivan	We currently have one guy who is in charge of painting the entire Milwaukee County parks system.	2
Gene Sperling	Our economy still has three people looking for every job (opening).	0
The Campaign to Fix the Debt	If lawmakers fail to avert the fiscal cliff, 18 percent of the federal money that is sent to the states will be eliminated.	4
Physicians Committee for Responsible Medicine	[A] 2009 USDA study found that 87 percent of chicken carcasses tested positive for generic E. coli ... just prior to packaging.	2
Physicians Committee for Responsible Medicine	Rhode Islands teen binge drinking rate is double the national average.	4
Kendra Yarbrough Camarena	Austin politicians want to cram more kids into classrooms so they don't have to make the tough decisions to balance the budget.	3
Steven Brown	Over half of the foreign-born population in Rhode Island is white.	2
Charles Rangel	I'm glad for the wording of it (an ethics report on corporate-sponsored Congressional trips) because clearly the wording exonerates me.	5
Charles Rangel	Franklin Roosevelt (was) the last president to come to the Congress to ask for permission to engage into war.	2
Caroline Casagrande	Every American now is $51,000 in debt. Thats money I owe, thats money my children owe before they even go to kindergarten, thats their check to the federal government right now.	1
Caroline Casagrande	Women have come through the recession worse off than men  the numbers bear that out. We went from a 7 percent unemployment rate for women when he (President Barack Obama) was elected to an 8.1 percent now.	1
Ben Cardin	Every time we've increased the minimum wage, we've seen a growth in jobs.	3
Sean Hannity	When you read the Koran, it talks about don't take Christians and Jews as your friends.	2
Sean Hannity	In 45 out of 50 states, on average men are seeing their premiums double, going up 99 percent. Women up 62 percent.	3
Sean Hannity	In July 2010 the government said small businesses -- 60 percent -- will lose their health care, 45 percent of big business and a large percentage of individual health.	4
Sean Hannity	Our own National Security Agency says that (Iran's) nuclear ambitions are advancing, and at the same time ... we are slashing our own nuclear arsenal.	1
Sean Hannity	Barack Obama won't even use the term 'war on terrorism.'	0
Sean Hannity	You cant build a Christian church in Saudi Arabia.	0
Sanford Bishop	There are close to 900,000 unemployed veterans in America right now.	0
Martavius Jones	From a standpoint of the county government, neither school system has received an increase in funding over the past six years.	0
Trent Franks	The top 1 percent pay over half of the entire revenue for this country.	4
Trent Franks	It is truethat we know that ISIS is present in Ciudad Juarez (Mexico)	3
Elizabeth Dennigan	We are amassing most of our military strength in a country where fewer than 100 members of al Qaeda remain.	1
Floridians for Solar Choice	Currently, Florida is one of only five states in the nation that prohibit citizens from buying electricity from companies that will put solar panels on your home or business.	1
Joseph McNamara	About 22 percent of adults in Rhode Island and approximately 30 percent of youth (ages 10-17) are considered obese.	2
Joseph McNamara	In the state of Rhode Island 25 percent of our current physicians are graduates of for-profit medical schools.	4
Stacey Evans	By fiscal year 2013, the state is expected to wipe through [HOPE scholarship] reserve funds.	2
Evan Goyke	The hole in the earth thats going to be dug (for the proposed Gogebic mine) is bigger than my entire district.	0
Portland Association of Teachers	Did you know that if you accepted the District's proposal today you would have NO pay increase for 4 years? Seven years of frozen wages = Disrespect.	3
Bryan Underwood	Ninety-six percent of the last session, (U.S. Rep. Henry Cuellar) voted with Nancy Pelosi.	1
Holly Benson	Most AGs don't go to court..	1
Holly Benson	Florida is now the No. 1 state in the country for automobile accident fraud.	1
Sandra Smith	Almost 95 percent of all (Planned Parenthood) pregnancy services were abortions.	4
Bob McDonnell	Under Gov. Rick Perrys leadership [Texas] has created more jobs over the last decade than the rest of the states combined.	3
Bob McDonnell	The tuitions in Virginia colleges...have doubled -- 100 percent -- in the last 10 years.	0
Bob McDonnell	The average kid comes out of Virginia colleges with about $25,000-plus in debt.	2
Bob McDonnell	Independent voters have a ten-point margin in favor of Mitt Romney right now.	1
Bob McDonnell	Our crime rate continues to plummet.	1
Bob McDonnell	Seven out of the 10 states with the lowest unemployment rates (have) Republican governors  That approach that Republicans are using is working.	2
Bob McDonnell	It is estimated that every $100 million spent on construction generates 3,000 new jobs.	3
Bob McDonnell	Its been 4 and a half years since the United States Senate passed a budget.	4
Bob McDonnell	When I took office last year we faced historic budget deficits of $6 billion here in Virginia. And we closed those deficits by cutting spending.	3
Bob McDonnell	Here in Virginia, we have the opportunity to become the first state on the East Coast to explore for and produce oil and natural gas offshore.	0
Bob McDonnell	The amount of debt is on pace to double in five years and triple in 10. The federal debt is now over $100,000 per household.	2
David Rivera	In the past, President Obama has refused to meet with representatives from Cuban exile organizations.	4
David Rivera	Joe Garcia raised utility rates on families.	4
Bill Proctor	Right now, 50 percent of Florida students leaving high school cannot read at grade level.	1
Winning Our Future	Newt balanced the federal budget.	2
Ohio Department of Transportation	Demand for transportation choice is on the rise, with 14 percent more Ohioans riding passenger trains over the past year.	0
Elaine Boyer	[T]his breed (of pit bulls) is most often associated with aggressive behavior.	1
Sarah Copelin-Wood	I have given $30,000 of my unused travel expenses over the years to supplement the school system's general budget.	2
Mark Hass	Twelve percent of the garbage collected in those SOLV cleanups, by volume, is plastic bags.	1
Mark Hass	For every one ESD superintendent position, we can pay for three speech pathologists, or three special needs instructors, or three classroom teachers.	4
Lars Larson	Every time the weight of that vehicle is reduced by a hundred pounds, your chances of dying are going to go up by about 5 percent. Peel three hundred pounds off  youre 15 percent more likely to die in that car.	3
Lars Larson	TSA WILL ACCEPT DRIVERS PRIV CARDS FOR ID AT THE AIRPORT	0
Lena Taylor	There is no statistical evidence that bail bonds increase the likelihood of those awaiting trial returning to court for their scheduled hearings.	4
Lena Taylor	Gov. (Scott) Walker has yet to create a job, he gives away millions to his friends, and he raises taxes on working people.	3
Virginia Interfaith Center for Public Policy	In 1968, a full-time worker earning minimum wage, could actually support a family of three above the poverty line. Today, that same worker would earn less than the poverty line for a family of two.	1
Daniel Harrop	We see a quarter-billion dollars in a pension fund that needs to be funded at $1.2 billion.	1
Robert Healey	Of the states that have a lieutenant governor, many are currently discussing the need for such an obsolete office.	3
Lou Greenwald	Right now one of our highest job growth sectors is Leisure and Hospitality. We've added jobs that mostly fall within the restaurant and bar sector industry. These are not high-paying jobs, as the U.S. Department of Labor estimates this is an industry sector with the lowest average wages and the lowest proportion of its workforce earning minimum or subminimum wage jobs.	1
Lou Greenwald	Under this tax cut, middle-class families don't save enough for a week's worth of groceries, while millionaires save enough to go on an exotic vacation.	0
Lou Greenwald	about 100,000 kids in this country leave their home state and go to another state to be educated. Out of that 100,000 young people, 30,000 of them are from New Jersey, by far the largest amount.	2
Lou Greenwald	In 2011, NJ economy ranked 47th--at the bottom with Alabama, Mississippi & Wyoming. Under Christie, NJ is falling behind.	1
Timothy Dolan	We, the bishops of the United States -- can you believe it -- in 1919 came out for more affordable, more comprehensive, more universal health care.	0
James  Jolly	Every student paying out-of-state tuition actually covers more than the cost of instruction.	0
Nick Fish	we are going to sell this house and use the proceeds to stabilize rates.	4
Nick Fish	cities save an estimated $38 in dental costs for every $1 invested in fluoridation.	1
Jose Diaz-Balart	The majority of the Hispanic population and the growth (of the population) is U.S.-born.	0
Jose Diaz-Balart	Every single day in this country, 1,000 people are deported and the vast majority of those people that are deported aren't criminals.	2
Mary  Olson	there is a plan formulated by Chair (Lynn) Peterson and the cities in Clackamas County to further increase this fee in three years and split it up on projects between the county and cities.	2
Reince Priebus	The national unemployment rate has been above 8 percent for a record 36 months.	3
Reince Priebus	Americans will pay more in taxes in 2011 than they will spend on groceries, clothing and shelter combined.	2
Reince Priebus	We have unemployment that rivals the Great Depression.	4
Reince Priebus	Weve lost 26 million jobs  since (Obamas) been president.	5
Reince Priebus	Thanks to #ObamaCare, average E.R. wait in California is 5 hours.	4
Thomas Melsheimer	Across the country, more than half of the U.S.  attorney seats remain without a prosecutor chosen by Obama.	3
Michael Cutler	A couple of hundred American cities are infested by members of the Mexican cartels.	0
Ohio Right to Life	Ohios Planned Parenthood operations received millions of taxpayer dollars via federal grants in 2010 and 2011.	1
Heidi Heilman	Todays marijuana is 300 percent to 800 percent more potent than the pot of yesteryear.	0
Bob Donovan	There has never been an alderman who has defeated an incumbent mayor in the history of this great city.	0
Eileen Brady	Many people Ive talked to are angry that because of City Hall inaction we may have to spend a needless $500 million to cover and treat our pure drinking water.	4
Florida News Flash	Suntrust Bank cancels account because company sells guns.	3
A C Wharton	We will not ask for a tax increase to run city government.	1
Bobby  Scott	If all of the [Bush-era] tax cuts expire on schedule, the budget will be close to being balanced in four years.	4
Bobby  Scott	Nearly 2,000 high schools - roughly 12 percent of all secondary schools in the United States - produce about half of the nations dropouts.	0
Bobby  Scott	Income disparities in the United States are the worst since the 1920s.	1
Bobby  Scott	After World War II, we tried, convicted, and, in some cases, executed Japanese soldiers for war crimes that included charges of waterboarding.	0
Bobby  Scott	The estimated savings of this (debt ceiling) deal only pay for half of the cost of extending all of the Bush-era tax cuts for another decade.	0
Linda Chavez-Thompson	Most Texans aren't millionaires.	0
Linda Chavez-Thompson	Texas has, now, the highest share of minimum-wage workers in the nation.	0
WorldNetDaily	A U.S. Government Accountability Office report says Planned Parenthood Federation of America cannot find some $1.3 billion given to it by the federal government from 2002 through 2008.	5
Shelley Moore Capito	What (the Obama administration is) going to come out with in the next several months is you're not even going to be able to burn coal very limitedly in the existing plants.	4
Max Nofziger	Currently, there is no one from South Austin on the (Austin City) Council!	0
Todd Staples	More people hunt and fish in Texas in a given year than attend the... games of the Dallas Cowboys, the Dallas Mavericks, the Houston Texans and the Houston Rockets combined.	0
Todd Staples	On average, Americans spend less than 10 percent of their disposable income on food. Compare that to folks in Mexico, who spend 22 percent, China, 28 percent and Russia, 37 percent.	1
Lloyd  Doggett	The richest 1 percent of America will get a bigger tax cut through this bill than the family income of the average family here in Central Texas.	1
Lloyd  Doggett	With this reform, every insured American gets valuable consumer protections, and every uninsured American can become insured.	0
Lloyd  Doggett	I said no to these big bank bailouts.	0
Lloyd  Doggett	Donna Campbell has called for ending all federal funding for education	1
Lloyd  Doggett	In Austin, Ive got half-a-dozen or more schools on a list to be closed  one of which I presented a federal blue-ribbon award to for excellence. And several hundred school personnel on the list for possible terminations.	1
Lloyd  Doggett	During the last election, Democrats won over a million votes more than Republicans, but because of the way districts are designed, the Republicans got 33 more members of the House of Representatives than the Democrats did.	1
Lloyd  Doggett	The last time Republicans held hostage a resolution to ensure that our countrys bills were paid cost us more than $1 billion in added interest and slowed the economic recovery.	2
Cleta Winslow	In this city, there hasnt been a stadium thats lasted more than 27 years.	2
Adam Putnam	We've got to find 2 billion gallons (of water per day) between now and 2025.	1
Adam Putnam	All the money the Department of Citrus has is paid for by the citrus growers. You don't save dollars by eliminating the Department of Citrus.	1
Nickie Antonio	Statistics bear out that any time a country, a state, makes more restrictive abortion laws ... fatalities go up and abortions actually increase.	3
Steve Israel	Things went wrong with the Medicare prescription D plan that George Bush rolled out.	0
Gerry Connolly	America owns 3 percent of the worlds oil but consumes 25 percent of its global reserves.	1
Gerry Connolly	There hasn't really been a lot of net growth in the federal workforce when you compare it to say, 1990.	2
Gerry Connolly	In 1960, we spent more than 3 percent of our GDP on infrastructure projects like the Interstate Highway. Today we spend less than 1 percent of our GDP on these vital investments.	2
Betsy Miller-Jones	Did you know that in 2013 over 50 percent of all babies born in Oregon were Hispanic?	4
MoveOn.org	He positions himself as pro environment, but he scored a zero  yes, zero  from the League of Conservation Voters last year.	2
MoveOn.org	The Children's Defense Fund rated McCain as the worst senator in Congress for children.	0
MoveOn.org	John McCain voted against establishing a national holiday in honor of Dr. Martin Luther King, Jr.	0
MoveOn.org	McCain opposes a woman's right to choose.	0
MoveOn.org	(Palin) supported right-wing extremist Pat Buchanan for president in 2000.	4
Emergency Committee for Israel	While President Obama says all options are on the table for preventing a nuclear Iran, Hagel says military action is not a viable, feasible, responsible option.	3
Emergency Committee for Israel	When Congress voted to condemn Iran for sentencing a Christian pastor to death, (U.S. Rep. Lois) Capps was the only member who voted no.	3
Stephen Hayes	We've caught Iran cheating on the interim (nuclear) deal.	3
Helio Melo	People who wash cars at home will use approximately 80 percent more water than they do in a car wash.	5
Helio Melo	Rhode Island has the highest percentage of lawyers per capita in the country.	4
Joseph Henchman	Only 25 percent of what people buy is subject to Rhode Islands sales tax.	4
Joseph "Joe" Deshotel	There is no evidence that poor people abuse drugs more frequently than any other socio-economic group.	4
Bloggers	Students In Fla. High School Forced To Recite Islamic Prayer, Make Prayer Rugs.	3
Bloggers	Obama Declares November National Muslim Appreciation Month.	5
Bloggers	Over 73% of all donations raised (from the ALS Ice Bucket Challenge) are going to fundraising, overhead, executive salaries, and external donations.	5
Bloggers	U.S. Embassy Celebrates Americas Independence on June 4th in Order to Accommodate Muslims.	1
Bloggers	North Korea is telling its people that their mens national team is in the World Cup final.	5
Bloggers	Three of five detainees swapped (for Bowe Bergdahl) are now ISIS leaders.	5
Bloggers	Barack Obama loves Che Guevara.	5
Bloggers	By using a little-known loophole ... Obama minions are allowing Nestle Company to export precious fresh water out of Lake Michigan.	3
Bloggers	Obama Makes Huge Move to BAN Social Security Recipients From Owning Guns	4
Bloggers	Lincoln was fervently making plans to send all freed slaves to the jungles of Central America once the (Civil War) was over.  The only thing that kept this from happening was his assassination.	4
Bloggers	Clinton's former pastor convicted of child molestation.	5
Bloggers	Jay-Z and Beyonce Attempt to Buy Rights to Confederate Flag to Prevent Further Use.	5
Bloggers	Obama has been sending taxpayer dollars, at least $350,000 to fund anti-Likud, anti-Netanyahu groups in Israelfor (the) election.	3
Bloggers	Obamacare Medical Codes Confirm: Execution by Beheading To Be Implemented in America.	5
Bloggers	Pentagon confirms they may court martial soldiers who hold Christian faith.	3
Bloggers	Christian Pastor in Vermont Sentenced to One Year in Prison After Refusing to Marry Gay Couple	5
Bloggers	Florida Democrats just voted to impose Sharia law on women.	5
Bloggers	Justice John Roberts Signed Off On Obamas Arrest For Treason.	5
Chris Thomas	Shelby County donated  Im sorry, gave  44 schools to the city of Memphis.	2
Frank Guinta	Carol Shea-Porter  wants to increase taxes on small business and job creators.	4
Frank Guinta	Now, in the House of Representatives, we have 40 different jobs bills that have passed and almost all of them have been bipartisan.	3
Friends of India Point Park	Proximity to high-voltage power lines lowers property values by as much as 30 percent.	2
Florida Hometown Democracy	For every dollar a county gets in taxes from new development, it costs us 40 to 50 percent more to provide services.	2
John Murtha	We're going to have more troops (in Afghanistan) . . . than the Russians had.	3
Casey Cagle	We refused to balance the budget on the backs of our children.	3
Casey Cagle	For every week that (state lawmakers are) able to cut off our timeline, it saves (Georgia taxpayers) approximately $100,000.	0
Senate Republican Conference	Up to 80 percent of small businesses will be forced to give up their current plans due to new Obamacare regulations.	2
Erin Lynch	The average age of the minimum wage worker is 35 years old.	3
Milly Silva	Property taxes have increased 20 percent under four years of Chris Christie.	1
Sergey Lavrov	Congress is a very special group of people. More than 80 percent of them never left the United States.	5
Don Beyer	More than half of women under 30 who give birth do so outside of marriage...	0
Don Beyer	If you look at the income of average Americans...theyre absolutely flat in constant dollars since 1979.	1
Don Beyer	The United States is the only industrialized country that does not guarantee paid time off to care for a new child.	1
Don Beyer	Thanks to the Obama administrations negotiations, Irans nuclear program will be under lock, key and camera 24 hours a day, 365 days a year.	2
Don Beyer	More than 7,000 Americans lost their lives to climate change-fueled events last year.	4
Robert Flanders	Every dropout costs us $72,000 for the life of that person.	2
Carl Lewis	Youre paying for...(state Sen. Diane Allens) health care, and she took yours away.	3
Peter  Palumbo	There are nearly 500,000 registered sex offenders across the country and at any one time about 100,000 are unaccounted for.	3
Peter  Palumbo	Every poll you see, the overwhelming majority of people want [E-Verify].	0
Peter  Palumbo	The Tax Foundation figures Rhode Island as the 10th highest state for state and local tax burden per capita in the country. We're the 6th worst in the country for the business tax index. We're the 3rd highest per capita in the country for all taxes.	3
Steve Forbes	Two-thirds of the people who start out in minimum wage are above the minimum wage within a year.	2
Peter Roskam	Worldwide credit card transactions, the credit card fraud rate is 0.04 percent, compared to almost 8 percent, 9 percent, 10 percent of Medicare fraud.	1
Jeff Stone	Im the only candidate for Milwaukee County executive that has voted against increasing government pensions.	0
Jeff Stone	I never proposed privatizing the (Milwaukee County) airport.	0
Tom Barrett	Scott Walker wants to make abortion illegal, even in cases of rape, incest or to protect the life of the mother.	0
Tom Barrett	Scott Walker says he would ban stem cell research	4
Tom Barrett	No one on my staff has ever been charged with a crime.	4
Tom Barrett	Under Tom Barretts leadership, violent crime in Milwaukee has decreased by over 20% -- to its lowest levels in more than 20 years.	5
Tom Barrett	Walker says hes for lower taxes. But Milwaukee County spending has gone up by $349 million.	3
Tom Barrett	Eleven years ago, the city of Detroit lifted the residency requirement for police officers and today, 53 percent of officers live outside of the city. If we want the tax base of Milwaukee to resemble the tax base of Detroit, this is the way to go.	1
Tom Barrett	Scott Walker wants to ban common forms of birth control, including the pill.	2
Jon Kyl	One of the most recent polls said 75 percent of the American people have said either don't do anything or start over (on health care reform).	1
Jon Kyl	The ABA's own criteria for a judicial nominee call for, among other things, at least 12 years' experience in the practice of law, and they mean actual practice of law.	2
Jon Kyl	Only about 6.8 percent of the (stimulus) money has actually been spent.	1
Jon Kyl	President Obama himself attempted to filibuster Justice Alito, who  now sits on the Supreme Court.	0
Sheila Resseger	By spring 2014, parents of 60,000 students in New York state had refused to let them take the Common Core Tests.	1
Victoria Jackson	A clause hidden in the Obamacare bill, which is now law, gives Obama the right to form a private army.	5
Lindsey Graham	The Geneva Convention did not apply, until 2005, to the war on terror.	2
Lindsey Graham	Now, there was a time when someone like Scalia and Ginsburg got 95-plus votes.	0
Lindsey Graham	If you took every penny of the 1 percent, including their dog, you wouldn't even begin to balance the budget.	3
Lindsey Graham	People come here to have babies. They come here to drop a child. It's called 'drop and leave.	2
Lindsey Graham	The labor participation rate is at an all-time low.	3
Lindsey Graham	The average student will be spending $1,700 to $1,800 more during the life of their loan because of this surcharge.	4
Republican National Committee	Did Obama know that Tony Rezko was saving him $300,000 on the purchase of his home?	4
Republican National Committee	Barack Obama thinks terrorists just need a good talking to.	5
Republican National Committee	Hillary's baby bond proposal would give $5,000 to each of the 4-million babies born in the U.S. each year, totaling $20-billion per year, multiplied by four years = $80-billion.	4
Republican National Committee	2008: Unions Spent $400 Million to Elect Obama.	4
Republican National Committee	Barack Obama and Joe Biden oppose new drilling at home and oppose nuclear power.	3
Republican National Committee	Under Barack Obama's plan, the government would spend $1-trillion more.	2
Republican National Committee	Obama has maintained a friendship with a now convicted felon.	1
Republican National Committee	The average family premium has increased by 29% under Obama!	1
Republican National Committee	Obama's liberal fiscal agenda: Over $874-billion in new spending.	2
Republican National Committee	The latest Quinnipiac poll found that nearly six-in-ten Americans oppose ObamaCare -- 30% support the law and 57% oppose it.	2
Republican National Committee	If Sen. Hillary Clinton could enact all of her campaign proposals, taxpayers would be faced with financing more than $777.6-billion in new spending over one White House term.	1
Republican National Committee	Obama Skips Out On Condemning Left-Wing Attacks On Gen. Petraeus Despite Casting Other 'Important Votes' Earlier And Later In The Day.	0
Gary George	I created the school choice program.	2
NumbersUSA	More than half of all drivers' licences issued in California this year have gone to illegal aliens.	1
Michael McAuliff	Tommy Thompson wanted to implant data chips in humans.	1
Jonathan Harris	You dont see Norway losing population, and its taxes are astronomical.	1
Kathleen Angelucci	It is a fact that it costs more to run the schools in August.	3
Kathleen Clyde	'Wrong precinct' rules exacerbate our provisional ballot problems (and) HB 194 does nothing to solve the wrong-precinct problem.	0
Kathleen Clyde	Ohio is not meeting its obligation to update voter registrations when voters change their address with the BMV.	0
Kathleen Clyde	Ohio has one of the highest provisional ballot rates in the country, and many of them go uncounted each election.	0
Ron Kind	Before Medicare, only 51 percent of Americans 65 and older had health care coverage and nearly 30 percent lived below the poverty line. Today, thanks to Medicare ... nearly all seniors have coverage and 75 percent fewer struggle in poverty.	2
Ron Kind	Since the passage of the Affordable Care Act, U.S. health care spending grew at 3.9 percent for the last three years, the lowest growth rate in over 50 years.	2
Charles Cooper	Very few men outlive their own fertility.	2
Tom Graves	Two days of interest we pay to China is enough to buy one joint strike fighter [jet].	0
Tom Graves	The federal government owns tens of thousands of properties that are vacant or underused.	0
Tom Graves	America's wealthiest 25 percent pay 86 percent of total income taxes. Wealthiest 5 percent pay 60 percent of total income taxes.	0
Tom Graves	I've traveled the country advocating for the FairTax ...	3
Tom Graves	The government does not need a warrant to read your old emails.	0
